,Titel,Namenszusatz,Nachname,Vornamen,Gebietsart,Gebietsnummer,Gebietsname,Name,id,name
241,Dr.,,Schäuble,Wolfgang,Wahlkreis,284,Offenburg,Wolfgang Schäuble,,
242,,,Seif,Detlef,Wahlkreis,92,Euskirchen – Rhein-Erft-Kreis II,Detlef Seif,,
243,,,Silberhorn,Thomas,Wahlkreis,236,Bamberg,Thomas Silberhorn,9.514892753124434e+17,Thomas Silberhorn
244,,,Simon,Björn,Wahlkreis,185,Offenbach,Björn Simon,93845554.0,Björn Simon
245,,,Spahn,Jens,Wahlkreis,124,Steinfurt I – Borken I,Jens Spahn,299650387.0,Jens Spahn
246,,,Stadler,Svenja,Wahlkreis,36,Harburg,Svenja Stadler,3337459024,
247,,,Staffler,Katrin,Wahlkreis,215,Fürstenfeldbruck,Katrin Staffler,8.250199120830382e+17,Katrin Staffler
248,Dr.,,Steffen,Till,Wahlkreis,20,Hamburg-Eimsbüttel,Till Steffen,1125962791.0,Till Steffen
249,Dr.,,Stefinger,Wolfgang,Wahlkreis,218,München-Ost,Wolfgang Stefinger,4866955749.0,Wolfgang Stefinger
250,,,Stegemann,Albert,Wahlkreis,31,Mittelems,Albert Stegemann,1.1279612484931297e+18,Albert Stegemann
251,Dr.,,Stegner,Ralf,Wahlkreis,7,Pinneberg,Ralf Stegner,16808099.0,Ralf Stegner
252,,,Stein,Jens,Wahlkreis,5,Kiel,Jens Stein,46498076,
253,,,Steiniger,Johannes,Wahlkreis,208,Neustadt – Speyer,Johannes Steiniger,83474160.0,Johannes Steiniger
254,,,Steinmüller,Hanna,Wahlkreis,75,Berlin-Mitte,Hanna Steinmüller,1.0917422955720008e+18,Hanna Steinmüller
255,,Freiherr von,Stetten,Christian,Wahlkreis,268,Schwäbisch Hall – Hohenlohe,Christian Stetten,1334019378,
256,,,Stier,Dieter,Wahlkreis,73,Burgenland – Saalekreis,Dieter Stier,,
257,,,Stracke,Stephan,Wahlkreis,257,Ostallgäu,Stephan Stracke,,
258,,,Straubinger,Max,Wahlkreis,230,Rottal-Inn,Max Straubinger,,
259,,,Stumpp,Christina,Wahlkreis,264,Waiblingen,Christina Stumpp,,
260,,,Stöber,Klaus,Wahlkreis,190,Eisenach – Wartburgkreis – Unstrut-Hainich-Kreis,Klaus Stöber,,
261,,,Stöcker,Diana,Wahlkreis,282,Lörrach – Müllheim,Diana Stöcker,,
262,Dr.,,Tebroke,Hermann-Josef,Wahlkreis,100,Rheinisch-Bergischer Kreis,Hermann-Josef Tebroke,,
263,,,Thews,Michael,Wahlkreis,145,Hamm – Unna II,Michael Thews,409258073,
264,,,Thies,Hans-Jürgen,Wahlkreis,146,Soest,Hans-Jürgen Thies,,
265,,,Throm,Alexander,Wahlkreis,267,Heilbronn,Alexander Throm,8.29056811974144e+17,Alexander Throm
266,,,Töns,Markus,Wahlkreis,123,Gelsenkirchen,Markus Töns,3522875063.0,Markus Töns
267,,,Uhlig,Katrin,Wahlkreis,96,Bonn,Katrin Uhlig,1.3464627346621932e+18,Katrin Uhlig
268,,,Ullrich,Frank,Wahlkreis,196,Suhl – Schmalkalden-Meiningen – Hildburghausen – Sonneberg,Frank Ullrich,,
269,Dr.,,Ullrich,Volker,Wahlkreis,252,Augsburg-Stadt,Volker Ullrich,28446356.0,Volker Ullrich
270,,,Völlers,Marja-Liisa,Wahlkreis,40,Nienburg II – Schaumburg,Marja-Liisa Völlers,1.0094577915542815e+18,Marja-Liisa Völlers
271,,,Vöpel,Dirk,Wahlkreis,117,Oberhausen – Wesel III,Dirk Vöpel,,
272,,,Wallstein,Maja,Wahlkreis,64,Cottbus – Spree-Neiße,Maja Wallstein,2423392771.0,Maja Wallstein
273,,,Walter,Hannes,Wahlkreis,65,Elbe-Elster – Oberspreewald-Lausitz II,Hannes Walter,,
274,,,Warken,Nina,Wahlkreis,276,Odenwald – Tauber,Nina Warken,65413134.0,Nina Warken
275,,,Wegling,Melanie,Wahlkreis,184,Groß-Gerau,Melanie Wegling,,
276,Dr.,,Weingarten,Joe,Wahlkreis,201,Kreuznach,Joe Weingarten,811960243353780226,
277,Dr.,,Weisgerber,Anja,Wahlkreis,250,Schweinfurt,Anja Weisgerber,133770069.0,Anja Weisgerber
278,,,Weiss,Maria-Lena,Wahlkreis,285,Rottweil – Tuttlingen,Maria-Lena Weiss,,
279,,,Westphal,Bernd,Wahlkreis,48,Hildesheim,Bernd Westphal,1.0716654231402496e+18,Bernd Westphal
280,,,Whittaker,Kai,Wahlkreis,273,Rastatt,Kai Whittaker,2479436480.0,Kai Whittaker
281,,,Widmann-Mauz,Annette,Wahlkreis,290,Tübingen,Annette Widmann-Mauz,3351905747,
282,Dr.,,Wiener,Klaus,Wahlkreis,104,Mettmann I,Klaus Wiener,8.622476395843174e+17,Klaus Wiener
283,,,Willsch,Klaus-Peter,Wahlkreis,178,Rheingau-Taunus – Limburg,Klaus-Peter Willsch,,
284,,,Winkelmeier-Becker,Elisabeth,Wahlkreis,97,Rhein-Sieg-Kreis I,Elisabeth Winkelmeier-Becker,1.3860757297801626e+18,Elisabeth Winkelmeier-Becker
285,,,Winkler,Tobias,Wahlkreis,243,Fürth,Tobias Winkler,2811445750.0,Tobias Winkler
286,,,Wittmann,Mechthilde,Wahlkreis,256,Oberallgäu,Mechthilde Wittmann,,
287,Dr.,,Wollmann,Herbert,Wahlkreis,66,Altmark,Herbert Wollmann,,
288,,,Zeulner,Emmi,Wahlkreis,240,Kulmbach,Emmi Zeulner,,
289,,,Ziegler,Kay-Uwe,Wahlkreis,71,Anhalt,Kay-Uwe Ziegler,8.467704874809958e+17,Kay-Uwe Ziegler
290,,,Ziemiak,Paul,Wahlkreis,150,Märkischer Kreis II,Paul Ziemiak,288696645.0,Paul Ziemiak
291,,,Zierke,Stefan,Wahlkreis,57,Uckermark – Barnim I,Stefan Zierke,64220313.0,Stefan Zierke
292,Dr.,,Zimmermann,Jens,Wahlkreis,187,Odenwald,Jens Zimmermann,449619355.0,Jens Zimmermann
293,,,Zippelius,Nicolas,Wahlkreis,272,Karlsruhe-Land,Nicolas Zippelius,1560104953.0,Nicolas Zippelius
294,,,Zorn,Armand,Wahlkreis,182,Frankfurt am Main I,Armand Zorn,1.3131873763789087e+18,Armand Zorn
295,,,Zschau,Katrin,Wahlkreis,14,Rostock – Landkreis Rostock II,Katrin Zschau,,
296,,,Özdemir,Cem,Wahlkreis,258,Stuttgart I,Cem Özdemir,19108766.0,Cem Özdemir
297,,,Özdemir,Mahmut,Wahlkreis,116,Duisburg II,Mahmut Özdemir,1399764944.0,Mahmut Özdemir
298,,,Özoğuz,Saliha,Wahlkreis,22,Hamburg-Wandsbek,Saliha Özoğuz,83342791,
