,Titel,Namenszusatz,Nachname,Vornamen,Gebietsart,Gebietsnummer,Gebietsname,Name,id,name
55,,,Erndl,Thomas,Wahlkreis,227,Deggendorf,Thomas Erndl,2192588903.0,Thomas Erndl
56,Dr.,,Esdar,Wiebke,Wahlkreis,132,Bielefeld – Gütersloh II,Wiebke Esdar,1042109887604563968,
57,,,Fahimi,Yasmin,Wahlkreis,42,Stadt Hannover II,Yasmin Fahimi,1.0380344313852477e+18,Yasmin Fahimi
58,,,Farle,Robert,Wahlkreis,74,Mansfeld,Robert Farle,2958611710.0,Robert Farle
59,,,Fiedler,Sebastian,Wahlkreis,118,Mülheim – Essen I,Sebastian Fiedler,417280296.0,Sebastian Fiedler
60,Dr.,,Franke,Edgar,Wahlkreis,170,Schwalm-Eder,Edgar Franke,481393623,
61,,,Frei,Thorsten,Wahlkreis,286,Schwarzwald-Baar,Thorsten Frei,1.1815985785082143e+18,Thorsten Frei
62,Dr.,,Friedrich,Hans-Peter,Wahlkreis,239,Hof,Hans-Peter Friedrich,,
63,,,Frieser,Michael,Wahlkreis,245,Nürnberg-Süd,Michael Frieser,4577700622.0,Michael Frieser
64,,,Färber,Hermann,Wahlkreis,263,Göppingen,Hermann Färber,,
65,,,Fäscher,Ariane,Wahlkreis,58,Oberhavel – Havelland II,Ariane Fäscher,1.371580189000487e+18,Ariane Fäscher
66,,,Gava,Manuel,Wahlkreis,39,Stadt Osnabrück,Manuel Gava,,
67,Dr.,,Geissler,Jonas,Wahlkreis,238,Coburg,Jonas Geissler,3375074608.0,Jonas Geissler
68,,,Gelbhaar,Stefan,Wahlkreis,76,Berlin-Pankow,Stefan Gelbhaar,426582569.0,Stefan Gelbhaar
69,,,Gerdes,Michael,Wahlkreis,125,Bottrop – Recklinghausen III,Michael Gerdes,2468956470.0,Michael Gerdes
70,,,Glöckner,Angelika,Wahlkreis,210,Pirmasens,Angelika Glöckner,976421048.0,Angelika Glöckner
