,Nachname,Vornamen,Gebietsart,Gebietsnummer,Gebietsname,Gruppenname,Name,id,name
29,Brinkhaus,Ralph,Wahlkreis,131,Gütersloh I,CDU,Ralph Brinkhaus,38001527.0,Ralph Brinkhaus
30,Brodesser,Carsten,Wahlkreis,99,Oberbergischer Kreis,CDU,Carsten Brodesser,,
31,Bröhr,Marlon,Wahlkreis,200,Mosel/Rhein-Hunsrück,CDU,Marlon Bröhr,,
32,Bury,Yannick,Wahlkreis,283,Emmendingen – Lahr,CDU,Yannick Bury,33738797.0,Yannick Bury
33,Bär,Dorothee,Wahlkreis,248,Bad Kissingen,CSU,Dorothee Bär,140821364.0,Dorothee Bär
34,Bühl,Marcus,Wahlkreis,192,Gotha – Ilm-Kreis,AfD,Marcus Bühl,,
35,Cademartori Dujisin,Isabel,Wahlkreis,275,Mannheim,SPD,Isabel Cademartori Dujisin,,
36,Chrupalla,Tino,Wahlkreis,157,Görlitz,AfD,Tino Chrupalla,7.971373338207846e+17,Tino Chrupalla
37,Connemann,Gitta,Wahlkreis,25,Unterems,CDU,Gitta Connemann,1.1257514452052623e+18,Gitta Connemann
38,Czaja,Mario,Wahlkreis,85,Berlin-Marzahn-Hellersdorf,CDU,Mario Czaja,115666099.0,Mario Czaja
39,Damerow,Astrid,Wahlkreis,2,Nordfriesland – Dithmarschen Nord,CDU,Astrid Damerow,,
40,Demir,Hakan,Wahlkreis,82,Berlin-Neukölln,SPD,Hakan Demir,2942564267.0,Hakan Demir
41,Diaby,Karamba,Wahlkreis,72,Halle,SPD,Karamba Diaby,,
42,Dieren,Jan,Wahlkreis,114,Krefeld II – Wesel II,SPD,Jan Dieren,1.3210434792298783e+18,Jan Dieren
43,Dietz,Thomas,Wahlkreis,164,Erzgebirgskreis I,AfD,Thomas Dietz,,
44,Dilcher,Esther,Wahlkreis,167,Waldeck,SPD,Esther Dilcher,,
45,Dobrindt,Alexander,Wahlkreis,226,Weilheim,CSU,Alexander Dobrindt,,
46,Donth,Michael,Wahlkreis,289,Reutlingen,CDU,Michael Donth,,
47,Droßmann,Falko,Wahlkreis,18,Hamburg-Mitte,SPD,Falko Droßmann,,
48,Durz,Hansjörg,Wahlkreis,253,Augsburg-Land,CSU,Hansjörg Durz,1662533040.0,Hansjörg Durz
49,Döring,Felix,Wahlkreis,173,Gießen,SPD,Felix Döring,,
50,Echeverria,Inaki,Wahlkreis,139,Ennepe-Ruhr-Kreis II,SPD,Inaki Echeverria,,
51,Edelhäußer,Ralph,Wahlkreis,246,Roth,CSU,Ralph Edelhäußer,,
52,Eichwede,Sonja,Wahlkreis,60,Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I,SPD,Sonja Eichwede,,
53,Engelhard,Alexander,Wahlkreis,255,Neu-Ulm,CSU,Alexander Engelhard,,
54,Englhardt-Kopf,Martina,Wahlkreis,234,Schwandorf,CSU,Martina Englhardt-Kopf,1.3356768690610627e+18,Martina Englhardt-Kopf
55,Erndl,Thomas,Wahlkreis,227,Deggendorf,CSU,Thomas Erndl,2192588903.0,Thomas Erndl
56,Esdar,Wiebke,Wahlkreis,132,Bielefeld – Gütersloh II,SPD,Wiebke Esdar,,
57,Fahimi,Yasmin,Wahlkreis,42,Stadt Hannover II,SPD,Yasmin Fahimi,1.0380344313852477e+18,Yasmin Fahimi
